timestamp,rtt,jitter
5855168412538,0.486603,0.004815
5855169303042,0.381846,0.104757
5855170223230,0.308106,0.07374
5855171223954,0.309606,0.0015
5855172313880,0.394197,0.084591
5855173458342,0.528195,0.133998
5855174343846,0.414401,0.113794
5855175355847,0.425067,0.010666
5855176283072,0.365512,0.059555
5855177276870,0.35429,0.011222
5855178221243,0.304809,0.049481
5855179444130,0.49914,0.194331
5855180400484,0.477603,0.021537
5855181300043,0.378549,0.099054
5855182226157,0.308754,0.069795
5855183217011,0.301088,0.007666
5855184257938,0.341772,0.040684
5855185450751,0.505269,0.163497
5855186298903,0.376604,0.128665
5855187324627,0.40016,0.023556
5855188266796,0.351883,0.048277
5855189231706,0.315087,0.036796
5855190224430,0.309421,0.005666
5855191442669,0.498622,0.189201
5855192377579,0.458974,0.039648
5855193291971,0.372105,0.086869
5855194227844,0.31081,0.061295
5855195217216,0.302809,0.008001
5855196297013,0.382457,0.079648
5855197488160,0.552713,0.170256
5855198319534,0.39553,0.157183
5855199413868,0.485455,0.089925
5855200280779,0.360272,0.125183
5855201262059,0.340809,0.019463
5855202236691,0.318532,0.022277
5855203436985,0.492825,0.174293
5855204368821,0.446344,0.046481
5855205344805,0.416512,0.029832
5855206231068,0.315124,0.101388
5855207458473,0.532306,0.217182
5855208497141,0.560194,0.027888
5855209428551,0.496418,0.063776
5855210377220,0.456751,0.039667
5855211334315,0.410048,0.046703
5855212255559,0.340161,0.069887
5855213221395,0.306162,0.033999
5855214448041,0.503418,0.197256
5855215337970,0.417697,0.085721
5855216336324,0.414975,0.002722
5855217243753,0.32518,0.089795
5855218221273,0.304883,0.020297
5855219220757,0.304403,0.00048
5855220461384,0.517177,0.212774
5855221352202,0.430585,0.086592
5855222306556,0.386456,0.044129
5855223230152,0.313569,0.072887
5855224251135,0.33705,0.023481
5855225226248,0.310495,0.026555
5855226689797,0.613804,0.303309
5855227270806,0.383827,0.229977
5855228377102,0.446918,0.063091
5855229239458,0.322328,0.12459
5855230217960,0.30305,0.019278
5855231214036,0.30055,0.0025
5855232458034,0.509955,0.209405
5855233359574,0.440919,0.069036
5855234339854,0.419789,0.02113
5855235235709,0.317643,0.102146
5855236244007,0.329272,0.011629
5855237225027,0.306606,0.022666
5855238441322,0.494881,0.188275
5855239330585,0.408012,0.086869
5855240364752,0.441659,0.033647
5855241242108,0.326272,0.115387
5855242220295,0.306161,0.020111
5855243215334,0.301958,0.004203
5855244465850,0.521102,0.219144
5855245342150,0.423937,0.097165
5855246311134,0.390772,0.033165
5855247226433,0.312791,0.077981
5855248243194,0.330587,0.017796
5855249218585,0.303921,0.026666
5855250430916,0.485566,0.181645
5855251349790,0.431104,0.054462
5855252369124,0.448733,0.017629
5855253284127,0.361179,0.087554
5855254265185,0.345291,0.015888
5855255256946,0.337476,0.007815
5855256558313,0.617656,0.28018
5855257386669,0.46077,0.156886
5855258243470,0.326013,0.134757
5855259264027,0.345828,0.019815
5855260260269,0.345494,0.000334
5855261279067,0.356568,0.011074
5855262457862,0.515658,0.15909
5855263302940,0.382549,0.133109
5855264387348,0.458992,0.076443
5855265414886,0.490306,0.031314
5855266493016,0.551917,0.061611
5855267269966,0.352902,0.199015
5855268520408,0.577416,0.224514
5855269387912,0.464159,0.113257
5855270332581,0.40716,0.056999
5855271306268,0.381512,0.025648
5855272273715,0.355772,0.02574
5855273224292,0.306125,0.049647
5855274549584,0.601231,0.295106
5855275326608,0.404752,0.196479
5855276260833,0.345383,0.059369
5855277314630,0.386512,0.041129
5855278233596,0.31805,0.068462
5855279212154,0.299403,0.018647
5855280413948,0.469881,0.170478
5855281399784,0.47627,0.006389
5855282295806,0.37592,0.10035
5855283225864,0.312032,0.063888
5855284247162,0.333495,0.021463
5855285226812,0.309791,0.023704
5855286430384,0.484418,0.174627
5855287338943,0.419771,0.064647
5855288321389,0.398586,0.021185
5855289232596,0.314846,0.08374
5855290216987,0.301495,0.013351
5855291252025,0.334439,0.032944
5855292521652,0.579731,0.245292
5855293319453,0.398623,0.181108
5855294223531,0.309069,0.089554
5855295214773,0.302495,0.006574
5855296235200,0.324031,0.021536
5855297219888,0.307069,0.016962
5855298437737,0.494436,0.187367
5855299333148,0.415993,0.078443
5855300355316,0.4349,0.018907
5855301224246,0.309495,0.125405
5855302213711,0.299421,0.010074
5855303210101,0.296754,0.002667
5855304464080,0.519065,0.222311
5855305341658,0.421456,0.097609
5855306305253,0.382345,0.039111
5855307235071,0.319532,0.062813
5855308246294,0.331772,0.01224
5855309222797,0.306866,0.024906
5855310435850,0.491862,0.184996
5855311332928,0.412753,0.079109
5855312381669,0.462325,0.049572
5855313280654,0.362827,0.099498
5855314227879,0.314365,0.048462
5855315212659,0.301125,0.01324
5855316467841,0.528009,0.226884
5855317342938,0.426493,0.101516
5855318343643,0.418956,0.007537
5855319222776,0.309865,0.109091
5855320289832,0.371456,0.061591
5855321231280,0.316143,0.055313
5855322438796,0.493917,0.177774
5855323310800,0.392771,0.101146
5855324455447,0.523491,0.13072
5855325263286,0.344902,0.178589
5855326224455,0.308754,0.036148
5855327216419,0.302717,0.006037
5855328461806,0.517047,0.21433
5855329348124,0.429641,0.087406
5855330354385,0.428474,0.001167
5855331230926,0.316254,0.11222
5855332287519,0.371549,0.055295
5855333229670,0.314791,0.056758
5855334504223,0.563065,0.248274
5855335440725,0.521083,0.041982
5855336497152,0.564564,0.043481
5855337316935,0.396031,0.168533
5855338344251,0.416475,0.020444
5855339246402,0.330383,0.086092
5855340248756,0.33355,0.003167
5855341495179,0.553842,0.220292
5855342326072,0.403271,0.150571
5855343233798,0.319532,0.083739
5855344249022,0.33605,0.016518
5855345229894,0.314291,0.021759
5855346208248,0.297551,0.01674
5855347392543,0.449659,0.152108
5855348417155,0.496732,0.047073
5855349341788,0.41753,0.079202
5855350240606,0.326569,0.090961
5855351216034,0.305365,0.021204
5855352850136,0.579287,0.273922
5855353618327,0.536343,0.042944
5855354303334,0.455437,0.080906
5855355238133,0.321198,0.134239
5855356240838,0.326494,0.005296
5855357275987,0.352883,0.026389
5855358222416,0.30918,0.043703
5855359434784,0.494325,0.185145
5855360606598,0.686581,0.192256
5855361324123,0.407512,0.279069
5855362293662,0.370457,0.037055
5855363235683,0.319735,0.050722
5855364311832,0.394771,0.075036
5855365568033,0.6371,0.242329
5855366343520,0.425974,0.211126
5855367359188,0.4364,0.010426
5855368283895,0.37005,0.06635
5855369221194,0.307828,0.062222
5855370215288,0.304291,0.003537
5855371407286,0.465621,0.16133
5855372600378,0.678267,0.212646
5855373322551,0.407475,0.270792
5855374225739,0.312828,0.094647
5855375211408,0.298903,0.013925
5855376319833,0.408067,0.109164
5855377501925,0.561528,0.153461
5855378578814,0.658878,0.09735
5855379398652,0.480992,0.177886
5855380292304,0.373309,0.107683
5855381233565,0.319939,0.05337
5855382663856,0.722321,0.402382
5855383306771,0.4439,0.278421
5855384283033,0.369365,0.074535
5855385275553,0.358253,0.011112
5855386221389,0.309513,0.04874
